"hotel_id","country","city","street","house","email","phone_number","rating"
1,Bosnia and Herzegovina,New Roberttown,Jeffery Parkways,151,hoffmanjennifer@gardner.com,"001-626-254-2351x16155",4.6
2,Saint Lucia,Herrerafurt,Andrea Village,187,barbara10@perez.com,"664-375-2553",4.8
3,New Caledonia,New Jessica,Steven Groves,18,gabriellecameron@perez.com,(541)639-5376x7242,4.7
4,San Marino,Hurstfurt,Robinson Dam,85,ddavis@hernandez.biz,+1-616-769-7848x018,3.4
5,Bouvet Island (Bouvetoya),Ryanmouth,Stephanie Wells,194,teresa28@harrell.net,+1-332-752-8809x570,4.2
6,Turkey,Johnbury,Christopher Oval,106,spenceamanda@anderson.net,(848)796-3834,5.0
7,Kazakhstan,Martinezbury,Matthew Radial,200,briannasmith@welch.com,"983-547-3829",3.4
8,Slovenia,Aguirreborough,Collin Meadows,136,rodney70@valdez.com,"633-938-7262",3.3
9,Egypt,South Lindseyside,Brent Plains,33,novaksara@martin.info,"660.826.0647",3.2
10,Qatar,Mooreport,Tanya Prairie,159,adkinsbrian@woods.com,"312.819.1361x93990",3.1
11,Palestinian Territory,Sarahborough,Allen Locks,176,emilyevans@hickman-walls.com,"599.711.8384x251",3.5
12,Finland,South Martha,Carr Valley,115,contrerasangela@garcia.com,"001-282-344-9353x4874",3.1
13,North Macedonia,Calderonton,Matthew Curve,181,evan78@patterson.com,+1-605-798-2620,4.2
14,United Arab Emirates,West Jasonbury,Michael Points,116,vdickson@frost.com,(360)825-6342,4.7
15,Tunisia,Port Thomasborough,Bailey View,19,jeffreykeller@murphy-lin.com,(386)885-0142x940,3.5
16,Guatemala,Samuelhaven,Paul Ports,78,jonathanfletcher@meyer.com,(861)659-5148x465,3.7
17,Micronesia,East Robert,Byrd Extensions,144,richard04@clark-floyd.org,+1-757-377-3872x1489,3.4
18,Svalbard & Jan Mayen Islands,Lake Lance,Dylan Cape,130,traceycarr@gibson.org,"567.463.2016",4.1
19,Spain,Williamsbury,Stephen Unions,164,jcontreras@stewart.net,(387)627-7434x87347,3.4
20,Dominica,Matthewside,Devon Fort,4,tbenson@brown.com,+1-876-903-6690,3.2
